Player,Team,,,Season,,,,,,MP,,,,,,,,,,,,,,,,,,,,,,,,,,USG%,,,,,,,,,TS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip T.,London Lions,Besiktas JK,EuroCup,2025-2026,07/10/2025,2,REGULAR SEASON,A,L,26,12,4,4,100.00%,1,4,25.00%,5,8,62.50%,1,2,50.00%,0,2,2,2,3,0,0,3,4,10,-17,1100.00%,24.40%,1.091,111.6,144.4,-32.8,129.4,138.4,-900.00%,68.80%,75.00%,18.20%,200.00%,9.10%,200.00%,9.10%,200.00%,0.00%,0.00%,36.40%,75.00%,0.00%,27.30%,18.20%,9.10%,11.10%,11.10%,33.30%,0.00%,13.30%,0.00%,0.00%,0.00%,0.00%,10.00%,10.00%,12.50%,0.00%,4.70%,0.00%,0.00%,0.00%,0.00%
Phillip T.,London Lions,KK Buducnost,EuroCup,2025-2026,02/10/2025,1,REGULAR SEASON,H,L,19,5,2,8,25.00%,0,0,0.00%,2,8,25.00%,1,5,20.00%,1,3,4,2,2,1,0,1,6,5,-17,1200.00%,33.30%,0.417,85.7,127,-41.3,61.5,121.4,-5990.00%,25.00%,25.00%,0.00%,0.00%,58.30%,57.00%,8.30%,0.00%,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%,8.30%,8.30%,20.00%,25.00%,0.00%,0.00%,13.30%,4.50%,8.30%,0.00%,0.00%,20.00%,0.00%,60.00%,0.00%,10.80%,2.70%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,CB Gran Canaria,EuroCup,2024-2025,11/03/2025,20,PLAY-OFF,H,L,15,0,0,1,0.00%,0,2,0.00%,0,3,0.00%,0,0,0.00%,0,1,1,1,1,0,0,3,1,-4,-13,400.00%,15.40%,0,100,160.9,-60.9,0,143.9,-14390.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,25.00%,0.00%,25.00%,12.50%,0.00%,0.00%,25.00%,7.10%,0.00%,0.00%,0.00%,0.00%,11.10%,0.00%,16.70%,0.00%,5.30%,0.00%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,Turk Ankara,EuroCup,2024-2025,05/02/2025,18,REGULAR SEASON,H,W,18,2,1,2,50.00%,0,2,0.00%,1,4,25.00%,0,3,0.00%,0,3,3,3,1,1,0,1,4,5,4,600.00%,15.80%,0.333,82.4,72.7,9.7,70.1,68.3,180.00%,25.00%,20.00%,0.00%,0.00%,33.30%,100.00%,0.00%,0.00%,0.00%,0.00%,33.30%,0.00%,16.70%,16.70%,16.70%,0.00%,33.30%,37.50%,0.00%,0.00%,18.80%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,30.00%,0.00%,8.80%,3.00%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,JL Bourg-en-Bresse,EuroCup,2024-2025,29/01/2025,17,REGULAR SEASON,A,W,21,7,2,2,100.00%,1,3,33.30%,3,5,60.00%,0,0,0.00%,0,4,4,3,1,1,0,0,3,15,26,600.00%,15.00%,1.167,145.9,77.8,68.1,134.6,67.4,6720.00%,70.00%,70.00%,0.00%,0.00%,16.70%,200.00%,16.70%,200.00%,16.70%,300.00%,33.30%,0.00%,0.00%,16.70%,16.70%,0.00%,14.30%,21.40%,0.00%,0.00%,18.80%,0.00%,0.00%,0.00%,0.00%,16.00%,20.00%,0.00%,33.30%,12.10%,2.80%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,Reyer Venezia,EuroCup,2024-2025,22/01/2025,16,REGULAR SEASON,A,L,23,6,1,2,50.00%,1,3,33.30%,2,5,40.00%,1,3,33.30%,1,1,2,2,3,0,0,3,1,0,-5,900.00%,17.60%,0.667,93,109.8,-16.8,80.8,112,-3120.00%,50.00%,50.00%,11.10%,200.00%,11.10%,0.00%,0.00%,0.00%,0.00%,0.00%,33.30%,100.00%,11.10%,33.30%,33.30%,0.00%,13.80%,11.10%,50.00%,0.00%,13.30%,3.70%,0.00%,7.10%,0.00%,6.70%,20.00%,0.00%,0.00%,4.80%,0.00%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,KK Cedevita Junior,EuroCup,2024-2025,14/01/2025,15,REGULAR SEASON,H,L,21,2,0,2,0.00%,0,2,0.00%,0,4,0.00%,2,2,100.00%,2,5,7,2,1,1,1,2,3,8,8,600.00%,15.00%,0.333,94.4,70.3,24.1,74.3,57.9,1640.00%,0.00%,20.00%,0.00%,0.00%,33.30%,0.00%,0.00%,0.00%,0.00%,0.00%,33.30%,0.00%,16.70%,16.70%,16.70%,0.00%,18.20%,22.20%,0.00%,0.00%,13.30%,8.30%,0.00%,25.00%,0.00%,17.20%,19.00%,14.30%,0.00%,13.20%,2.70%,2.60%,3.60%,0.00%
Phillip T.,Hapoel Jerusalem BC,Cluj-Napoca,EuroCup,2024-2025,08/01/2025,14,REGULAR SEASON,A,W,21,0,0,0,0.00%,0,2,0.00%,0,2,0.00%,0,0,0.00%,1,3,4,2,2,0,0,2,3,3,3,400.00%,8.90%,0,116.2,102.6,13.6,54.2,101.6,-4740.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,12.50%,18.20%,0.00%,0.00%,13.30%,5.00%,0.00%,9.10%,0.00%,18.80%,42.90%,0.00%,0.00%,11.10%,0.00%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,Aris BC,EuroCup,2024-2025,02/01/2025,13,REGULAR SEASON,H,W,22,14,2,4,50.00%,2,3,66.70%,4,7,57.10%,4,9,44.40%,2,2,4,3,3,2,0,1,7,18,15,1400.00%,26.90%,1,115.6,86,29.6,105,81.6,2340.00%,71.40%,63.60%,0.00%,0.00%,28.60%,100.00%,0.00%,0.00%,0.00%,0.00%,14.30%,300.00%,28.60%,21.40%,7.10%,14.30%,15.80%,37.50%,0.00%,0.00%,18.80%,9.50%,11.10%,16.70%,0.00%,10.00%,0.00%,14.30%,25.00%,9.80%,4.70%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,Hamburg Towers,EuroCup,2024-2025,17/12/2024,12,REGULAR SEASON,A,L,25,13,4,5,80.00%,1,3,33.30%,5,8,62.50%,2,3,66.70%,1,1,2,2,3,3,0,4,6,15,10,1200.00%,17.40%,1.083,107.7,86.8,20.9,124.2,79.1,4510.00%,68.80%,72.20%,16.70%,200.00%,25.00%,133.00%,0.00%,0.00%,16.70%,150.00%,8.30%,0.00%,8.30%,25.00%,8.30%,16.70%,8.30%,16.70%,0.00%,0.00%,13.30%,2.90%,5.60%,0.00%,0.00%,4.00%,0.00%,8.30%,0.00%,3.40%,5.70%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,BC Lietkabelis,EuroCup,2024-2025,11/12/2024,11,REGULAR SEASON,H,L,16,3,1,2,50.00%,0,1,0.00%,1,3,33.30%,1,1,100.00%,1,2,3,1,3,3,0,3,2,4,-3,600.00%,18.20%,0.5,106.7,112.9,-6.2,71.1,90.9,-1980.00%,33.30%,50.00%,0.00%,0.00%,33.30%,100.00%,0.00%,0.00%,0.00%,0.00%,16.70%,0.00%,0.00%,50.00%,33.30%,16.70%,8.70%,33.30%,0.00%,0.00%,7.10%,7.10%,0.00%,10.00%,0.00%,18.20%,0.00%,50.00%,0.00%,12.00%,9.70%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,Valencia Basket,EuroCup,2024-2025,04/12/2024,10,REGULAR SEASON,A,L,10,4,1,4,25.00%,0,2,0.00%,1,6,16.70%,2,2,100.00%,1,1,2,1,1,0,0,0,2,2,-13,800.00%,47.10%,0.5,68.8,141.2,-72.4,65,120.8,-5580.00%,16.70%,28.60%,0.00%,0.00%,25.00%,0.00%,25.00%,100.00%,12.50%,0.00%,12.50%,0.00%,12.50%,12.50%,0.00%,12.50%,100.00%,0.00%,0.00%,100.00%,7.10%,9.10%,20.00%,0.00%,0.00%,10.00%,0.00%,14.30%,0.00%,9.50%,0.00%,0.00%,0.00%,0.00%
Phillip T.,Hapoel Jerusalem BC,Turk Ankara,EuroCup,2024-2025,28/11/2024,9,REGULAR SEASON,A,W,14,3,0,2,0.00%,0,2,0.00%,0,4,0.00%,3,4,75.00%,2,2,4,2,1,1,0,5,3,2,10,700.00%,20.00%,0.429,134.6,96.2,38.4,98.7,82.3,1640.00%,0.00%,25.00%,0.00%,0.00%,14.30%,0.00%,14.30%,0.00%,14.30%,0.00%,14.30%,0.00%,28.60%,14.30%,14.30%,0.00%,15.40%,0.00%,50.00%,12.50%,13.30%,11.80%,14.30%,14.30%,0.00%,15.40%,0.00%,22.20%,0.00%,13.30%,3.80%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,Hapoel Tel Aviv,EuroCup,2024-2025,12/11/2024,8,REGULAR SEASON,H,L,37,9,2,5,40.00%,1,4,25.00%,3,9,33.30%,2,3,66.70%,0,4,4,4,3,4,0,2,6,15,-23,1300.00%,16.50%,0.692,88.9,131.8,-42.9,92.1,111.3,-1920.00%,38.90%,45.00%,7.70%,200.00%,23.10%,67.00%,7.70%,0.00%,0.00%,0.00%,30.80%,75.00%,7.70%,23.10%,15.40%,7.70%,16.70%,30.80%,0.00%,0.00%,23.50%,0.00%,0.00%,0.00%,0.00%,14.30%,15.40%,14.30%,0.00%,6.60%,6.10%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,Besiktas JK,EuroCup,2024-2025,05/11/2024,7,REGULAR SEASON,H,L,32,7,2,5,40.00%,0,2,0.00%,2,7,28.60%,3,4,75.00%,1,2,3,6,4,2,0,2,6,12,-9,1300.00%,18.80%,0.538,108.2,127.1,-18.9,97.7,117.9,-2020.00%,28.60%,38.90%,0.00%,0.00%,30.80%,100.00%,7.70%,0.00%,0.00%,0.00%,15.40%,0.00%,15.40%,30.80%,30.80%,0.00%,23.10%,7.70%,40.00%,33.30%,31.60%,4.30%,0.00%,16.70%,0.00%,9.10%,10.00%,9.10%,0.00%,6.70%,3.40%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,Bahçeşehir Koleji SK,EuroCup,2024-2025,30/10/2024,6,REGULAR SEASON,A,L,34,13,5,9,55.60%,1,5,20.00%,6,14,42.90%,0,0,0.00%,2,3,5,3,1,4,0,5,6,17,-7,1500.00%,22.40%,0.867,101.7,106.5,-4.8,109.5,85.5,2400.00%,46.40%,46.40%,33.30%,120.00%,26.70%,100.00%,0.00%,0.00%,6.70%,0.00%,26.70%,75.00%,0.00%,6.70%,6.70%,0.00%,11.50%,15.40%,0.00%,14.30%,18.80%,6.30%,10.50%,0.00%,0.00%,8.80%,6.70%,7.70%,33.30%,7.60%,6.50%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,Wolves Vilnius,EuroCup,2024-2025,22/10/2024,5,REGULAR SEASON,H,L,38,10,4,9,44.40%,0,3,0.00%,4,12,33.30%,2,2,100.00%,1,6,7,7,3,1,0,3,7,16,-15,1600.00%,20.00%,0.625,97.3,122.9,-25.6,97.3,115.9,-1860.00%,33.30%,38.50%,0.00%,0.00%,50.00%,100.00%,6.30%,0.00%,0.00%,0.00%,12.50%,0.00%,6.30%,18.80%,0.00%,18.80%,25.00%,35.30%,14.30%,0.00%,35.00%,3.70%,0.00%,0.00%,0.00%,25.00%,33.30%,20.00%,0.00%,13.70%,1.40%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,KK Buducnost,EuroCup,2024-2025,16/10/2024,4,REGULAR SEASON,A,L,33,16,2,4,50.00%,2,4,50.00%,4,8,50.00%,6,6,100.00%,0,6,6,6,3,1,0,4,3,21,-10,1400.00%,19.70%,1.143,109.7,125.8,-16.1,138.4,112,2640.00%,62.50%,72.70%,0.00%,0.00%,28.60%,100.00%,0.00%,0.00%,0.00%,0.00%,28.60%,150.00%,21.40%,21.40%,14.30%,7.10%,24.00%,20.00%,33.30%,25.00%,31.60%,0.00%,0.00%,0.00%,0.00%,24.00%,20.00%,30.80%,0.00%,11.50%,1.60%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,Badalona,EuroCup,2024-2025,09/10/2024,3,REGULAR SEASON,H,L,33,21,5,7,71.40%,2,6,33.30%,7,13,53.80%,5,6,83.30%,3,9,12,6,3,2,0,1,4,33,5,1900.00%,26.80%,1.105,110,101.7,8.3,143.9,82.1,6180.00%,61.50%,65.60%,15.80%,200.00%,21.10%,100.00%,0.00%,0.00%,0.00%,0.00%,31.60%,100.00%,15.80%,15.80%,10.50%,5.30%,24.00%,21.40%,100.00%,0.00%,31.60%,10.30%,9.10%,11.80%,0.00%,25.70%,18.80%,37.50%,0.00%,18.80%,3.30%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,Aquila Trento,EuroCup,2024-2025,02/10/2024,2,REGULAR SEASON,A,L,31,11,3,6,50.00%,0,3,0.00%,3,9,33.30%,5,8,62.50%,2,8,10,6,3,4,0,0,5,24,-9,1600.00%,23.20%,0.688,101.7,116.9,-15.2,102.3,97.1,520.00%,33.30%,42.30%,0.00%,0.00%,31.30%,80.00%,6.30%,200.00%,0.00%,0.00%,18.80%,0.00%,25.00%,18.80%,0.00%,18.80%,26.10%,20.00%,33.30%,14.30%,31.60%,6.50%,6.30%,8.30%,0.00%,30.80%,28.60%,40.00%,0.00%,17.50%,6.80%,0.00%,0.00%,0.00%
Phillip T.,Trefl Sopot,ratiopharm Ulm,EuroCup,2024-2025,25/09/2024,1,REGULAR SEASON,H,L,41,14,0,3,0.00%,3,8,37.50%,3,11,27.30%,5,6,83.30%,1,6,7,6,5,0,2,3,6,17,-10,1900.00%,20.90%,0.737,105,114.6,-9.6,92.4,108.5,-1610.00%,40.90%,50.00%,0.00%,0.00%,10.50%,0.00%,5.30%,0.00%,15.80%,0.00%,26.30%,180.00%,15.80%,26.30%,15.80%,10.50%,18.20%,8.30%,14.30%,28.60%,31.60%,2.70%,6.70%,0.00%,0.00%,16.20%,5.60%,26.70%,33.30%,9.50%,0.00%,2.90%,4.90%,0.00%
Phillip T.,London Lions,Paris Basketball,EuroCup,2023-2024,29/03/2024,22,PLAY-OFF,H,L,15,9,1,1,100.00%,2,4,50.00%,3,5,60.00%,1,2,50.00%,0,4,4,3,3,0,1,3,2,10,-15,900.00%,25.00%,1,80.6,121.2,-40.6,109.3,117.4,-810.00%,80.00%,75.00%,0.00%,0.00%,11.10%,200.00%,0.00%,0.00%,11.10%,300.00%,33.30%,100.00%,11.10%,33.30%,22.20%,11.10%,37.50%,75.00%,0.00%,0.00%,18.80%,0.00%,0.00%,0.00%,0.00%,33.30%,50.00%,33.30%,0.00%,14.80%,0.00%,4.00%,0.00%,6.70%
Phillip T.,London Lions,Paris Basketball,EuroCup,2023-2024,26/03/2024,21,PLAY-OFF,A,L,24,11,2,3,66.70%,1,3,33.30%,3,6,50.00%,4,6,66.70%,0,0,0,8,3,2,0,3,5,15,-2,1200.00%,22.60%,0.917,104.1,108.2,-4.1,109.2,103.4,580.00%,58.30%,61.10%,8.30%,200.00%,16.70%,100.00%,0.00%,0.00%,0.00%,0.00%,25.00%,100.00%,25.00%,25.00%,8.30%,16.70%,42.10%,46.70%,0.00%,33.30%,38.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.10%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Cluj-Napoca,EuroCup,2023-2024,13/03/2024,20,PLAY-OFF,A,W,22,6,0,3,0.00%,2,3,66.70%,2,6,33.30%,0,0,0.00%,0,1,1,2,0,1,0,2,3,7,3,600.00%,12.20%,1,111.4,102.2,9.2,116.1,101.1,1500.00%,50.00%,50.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,200.00%,0.00%,0.00%,0.00%,0.00%,10.00%,22.20%,0.00%,0.00%,13.30%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,10.00%,0.00%,2.60%,2.20%,0.00%,0.00%,0.00%
Phillip T.,London Lions,Turk Ankara,EuroCup,2023-2024,06/03/2024,19,PLAY-OFF,H,W,20,5,2,4,50.00%,0,2,0.00%,2,6,33.30%,1,2,50.00%,1,2,3,5,2,3,0,2,2,9,11,900.00%,22.00%,0.556,148.6,105.1,43.5,104.3,89.3,1500.00%,33.30%,35.70%,11.10%,200.00%,33.30%,67.00%,0.00%,0.00%,0.00%,0.00%,22.20%,0.00%,11.10%,22.20%,22.20%,0.00%,25.00%,27.30%,25.00%,16.70%,27.80%,9.10%,20.00%,0.00%,0.00%,10.50%,16.70%,0.00%,0.00%,10.00%,7.70%,0.00%,0.00%,0.00%
